state,fiscal_year,total_expenditures_millions,population,per_capita,source,notes
New Hampshire,2015,8010,1330608,6020,Tax Policy Center / Census of Governments,
New Hampshire,2017,8822,1342795,6570,Tax Policy Center / Census of Governments,
New Hampshire,2019,9069,1359711,6670,Tax Policy Center / Census of Governments,
New Hampshire,2021,10828,1388992,7796,Tax Policy Center / Census of Governments,
New Hampshire,2023,10726,1402054,7650,"Census Bureau (timeseries/govsstatefin, SF0132)",
New Hampshire,2024,8546,1409032,6065,KFF/NASBO (auto-scraped),
New Jersey,2015,76153,8958013,8501,Tax Policy Center / Census of Governments,
New Jersey,2017,82036,9005644,9109,Tax Policy Center / Census of Governments,
New Jersey,2019,88909,8882190,10010,Tax Policy Center / Census of Governments,
New Jersey,2021,98743,9267130,10655,Tax Policy Center / Census of Governments,
New Jersey,2023,93977,9290841,10115,"Census Bureau (timeseries/govsstatefin, SF0132)",
New Jersey,2024,91287,9500851,9608,KFF/NASBO (auto-scraped),
New Mexico,2015,20636,2085109,9897,Tax Policy Center / Census of Governments,
New Mexico,2017,20774,2088070,9949,Tax Policy Center / Census of Governments,
New Mexico,2019,22026,2096829,10504,Tax Policy Center / Census of Governments,
New Mexico,2021,27429,2115877,12963,Tax Policy Center / Census of Governments,
New Mexico,2023,31109,2114371,14713,"Census Bureau (timeseries/govsstatefin, SF0132)",
New Mexico,2024,27690,2130256,12998,KFF/NASBO (auto-scraped),
New York,2015,189878,19795791,9592,Tax Policy Center / Census of Governments,
New York,2017,200270,19849399,10089,Tax Policy Center / Census of Governments,
New York,2019,217076,19453561,11159,Tax Policy Center / Census of Governments,
New York,2021,240386,19835913,12119,Tax Policy Center / Census of Governments,
New York,2023,244610,19571216,12498,"Census Bureau (timeseries/govsstatefin, SF0132)",
New York,2024,234867,19867248,11822,KFF/NASBO (auto-scraped),
North Carolina,2015,54977,10042802,5474,Tax Policy Center / Census of Governments,
North Carolina,2017,58188,10273419,5664,Tax Policy Center / Census of Governments,
North Carolina,2019,64384,10488084,6139,Tax Policy Center / Census of Governments,
North Carolina,2021,74822,10551162,7091,Tax Policy Center / Census of Governments,
North Carolina,2023,79259,10835491,7315,"Census Bureau (timeseries/govsstatefin, SF0132)",
North Carolina,2024,70371,11046024,6371,KFF/NASBO (auto-scraped),
North Dakota,2015,7942,756928,10492,Tax Policy Center / Census of Governments,
North Dakota,2017,7814,755393,10344,Tax Policy Center / Census of Governments,
North Dakota,2019,7754,762062,10175,Tax Policy Center / Census of Governments,
North Dakota,2021,9218,774948,11895,Tax Policy Center / Census of Governments,
North Dakota,2023,9332,783926,11904,"Census Bureau (timeseries/govsstatefin, SF0132)",
North Dakota,2024,7466,796568,9373,KFF/NASBO (auto-scraped),
Ohio,2015,82701,11613423,7121,Tax Policy Center / Census of Governments,
Ohio,2017,87450,11658609,7501,Tax Policy Center / Census of Governments,
Ohio,2019,90236,11689100,7720,Tax Policy Center / Census of Governments,
Ohio,2021,103870,11780017,8817,Tax Policy Center / Census of Governments,
