state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Colorado,2023,2024,2023-05-09,2023-05-09,0,exact,2023-05-01,-61,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2024,2025,2024-05-08,2024-05-08,0,exact,2024-04-29,-63,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2025,2026,2025-05-08,2025-05-07,-1,exact,2025-04-28,-64,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2026,2027,2026-05-13,2026-05-13,0,exact,2026-05-08,-54,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2015,2016,2015-06-03,2015-06-03,0,exact,2015-06-30,-1,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2016,2017,2016-05-04,2016-05-04,0,exact,2016-07-01,0,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2017,2018,2017-06-07,2017-06-07,0,exact,2017-10-31,122,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2018,2019,2018-05-06,2018-05-09,3,exact,2018-05-15,-47,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2019,2020,2019-06-05,2019-06-05,0,exact,2019-06-26,-5,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2021,2022,2021-06-09,2021-06-09,0,exact,2021-06-23,-8,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2022,2023,2022-05-04,2022-05-04,0,exact,2022-05-09,-53,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2023,2024,2023-06-07,2023-06-07,0,exact,2023-06-12,-19,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2025,2026,2025-06-04,2025-06-04,0,exact,2025-06-30,-1,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Connecticut,2026,2027,2026-05-06,2026-05-06,0,exact,2026-05-26,-36,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2015,2016,2015-06-30,2015-06-30,0,exact,2015-07-01,0,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2016,2017,2016-06-30,2016-06-30,0,exact,2016-07-01,0,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2017,2018,2017-06-30,2017-07-01,1,exact,2017-07-03,2,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2018,2019,2018-06-30,2018-07-01,1,exact,2018-06-28,-3,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2019,2020,2019-06-30,2019-06-30,0,exact,2019-06-25,-6,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2020,2021,2020-06-30,2020-06-30,0,exact,2020-06-30,-1,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2021,2022,2021-06-30,2021-06-30,0,exact,2021-06-30,-1,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2022,2023,2022-06-30,2022-06-30,0,exact,2022-06-28,-3,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2024,2025,2024-06-30,2024-06-30,0,exact,2024-06-30,-1,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2025,2026,2025-06-30,2025-06-30,0,exact,2025-06-30,-1,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Delaware,2026,2027,2026-06-30,2026-06-30,0,exact,2026-06-30,-1,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2015,2016,2015-05-01,2015-05-01,0,exact,2015-06-23,-8,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2016,2017,2016-03-11,2016-03-11,0,exact,2016-03-15,-108,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2017,2018,2017-05-05,2017-05-08,3,exact,2017-06-02,-29,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
